Yksikkö,Tuottaja,Sijainti,Sektori,Palvelutyyppi,Palvelu eri vuorokauden aikoina: Arki - yö,Palvelu eri vuorokauden aikoina: Viikonloppu - yö,Mahdollisuus osallistua hyvinvointia ja terveyttä edistävään toimintaan: Saada tukea ulkoiluun viikoittain,Mahdollisuus osallistua hyvinvointia ja terveyttä edistävään toimintaan:  Järjestetty mielekästä tekemistä ja harrastusmahdollisuuksia,Sijaisten järjestämisen onnistuminen: Sijaisia vaikea saada,Erillinen kotihoitoa tukeva: Kotiutustiimi,Erillinen kotihoitoa tukeva: Kuntoutustiimi,Erillinen kotihoitoa tukeva: Saattohoitotiimi,"Suunniteltu hoivatyöhön osallistuva henkilöstö, vakanssit","Toteutunut hoivatyöhön osallistuva henkilöstö, vakanssit työtunneista laskettuna"
Euran kotihoito,Eura,Eura,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"40,80","36,78"
Eurajoen kotipalvelu,Eurajoki,Eurajoki,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Ei,Ei,"19,80",
Eurajoen kotisairaanhoito,Attendo Terveyspalvelut Oy,Eurajoki,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"3,05","3,10"
Kotihoito Evijärvi,Ky Kaksineuvoinen,Evijärvi,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"17,40","14,78"
Forssan kaupungin kotihoito / Muutostiimit,Forssan seudun hyvinvointikuntayhtymä,Forssa,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"44,00","32,05"
"Forssan kotihoito, Rimpikodon palvelukeskus",Forssan seudun hyvinvointikuntayhtymä,Forssa,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,"23,60","15,57"
"Forssan kotihoito, Tyykihovin palvelukeskus",Forssan seudun hyvinvointikuntayhtymä,Forssa,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Kyllä,"9,80","7,80"
Kotihoiva Pumpuli,Vanhan Kutomon Hoivakoti Pumpuli Oy,Forssa,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"2,50","2,26"
Kotisairaanhoitopalvelu Sairaan Hyvä,Kotisairaanhoitopalvelu Sairaan Hyvä,Forssa,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"3,35","2,71"
Haapajärven kotihoito,Peruspalveluky Selänne,Haapajärvi,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"32,95","29,32"
Haapaveden kotihoito,Sosiaali- ja terveyspiiri Helmi,Haapavesi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"38,00","26,94"
Hailuodon kotihoito,Hailuoto,Hailuoto,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Ei yhtäkään,Ei yhtäkään,Ei koskaan,Ei,Ei,Ei,"4,05","3,65"
Hämeenkosken kotihoito,Peruspalvelukeskus Oiva,Hämeenkoski,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Ei,Ei,Ei,"8,00","0,92"
Hämeenkyrön kotihoito,Hämeenkyrö,Hämeenkyrö,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Kyllä,"20,20","19,70"
Akuutti kotihoito ja kotisairaanhoito,Hämeenlinna,Hämeenlinna,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Kyllä,Ei,Ei,"16,00","11,33"
Attendo kotihoito Hämeenlinna,Attendo Oy,Hämeenlinna,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"22,50","18,77"
Hauhon kotihoito,Hämeenlinna,Hämeenlinna,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"14,90","13,18"
Ilveskodin kotipalvelu,Kanta-Hämeen Sairaskotisäätiö,Hämeenlinna,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Ei koskaan,Kyllä,Ei,Ei,"1,50","0,91"
Itäinen kotihoito,Hämeenlinna,Hämeenlinna,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"31,50","26,65"
Jukolan kotihoito,Hämeenlinna,Hämeenlinna,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"15,00","14,78"
Kalvolan kotihoito,Hämeenlinna,Hämeenlinna,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Ei koskaan,Kyllä,Ei,Ei,"14,00","11,32"
Keskustan kotihoito,Hämeenlinna,Hämeenlinna,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"33,50","28,81"
Kotipalvelu,Hoivia Oy,Hämeenlinna,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"1,60","1,72"
Lammin kotihoito,Hämeenlinna,Hämeenlinna,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"16,20","13,00"
Ojoisten kotihoito,Hämeenlinna,Hämeenlinna,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"10,35","9,12"
Rengon kotihoito,Hämeenlinna,Hämeenlinna,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"8,00","8,05"
Tuuloksen kotihoito,Hämeenlinna,Hämeenlinna,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Ei,Ei,"8,00","6,65"
Summankodin palveluasunnot,Hamina,Hamina,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Joitakin (alle 1/3 asiakkaista),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Kyllä,"8,75","0,86"
Veteraanikoti,Hamina,Hamina,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Kyllä,"5,05",
Hankasalmen kotihoito,Hankasalmi,Hankasalmi,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"29,00","18,75"
Kotihoito,Hanko,Hanko,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"39,15","32,50"
Harjavallan kotipalvelu,Harjavalta,Harjavalta,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"20,00","16,07"
Harjavallan kotisairaanhoito,Keski-Satakunnan th:n ky,Harjavalta,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Ei yhtäkään,Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"7,90",
Hartolan kotihoito,PHSOTEY / Aava,Hartola,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Ei,Ei,Ei,"17,70","14,66"
Hattulan kotihoito,Hattula,Hattula,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"27,50","23,37"
Hausjärven kotipalvelu,Hausjärvi,Hausjärvi,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"20,50","17,16"
Heinäveden kotihoito,Heinävesi,Heinävesi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Kyllä,Kyllä,Ei,"16,00","17,14"
Kotihoito Eden,Kotihoito Eden ky,Heinävesi,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Ei koskaan,Kyllä,Kyllä,Ei,"0,00","0,00"
Kotirinne,Heinävesi,Heinävesi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Usein,Kyllä,Ei,Ei,"14,65","12,73"
Kotihoito,Heinola,Heinola,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Ei,"57,10","49,27"
Päijät-Hämeen lähihoito,Exler Oy / Päijät-Hämeen lähihoito,Heinola,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Kyllä,"3,32","1,03"
Palvelutalo Cecilia,Cecilia Hoiva Oy,Helsinki,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Kyllä,Ei,"14,85","13,38"
Diana Care,Diana Care Oy,Helsinki,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Ei koskaan,Ei,Ei,Ei,"0,96","0,99"
Kotihoiva,Stella Kotipalvelut Oy,Helsinki,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Ei koskaan,Ei,Ei,Ei,"15,46","14,04"
